transaction_id,date,customer_id,customer_name,product,transaction_type,amount,currency,contract_id,period_start,period_end
TXN-0001,2025-01-19,C-100,TechFlow Inc,Platform Pro Annual,subscription_billing,24777.23,USD,CON-100,2025-01-01,2025-12-31
TXN-0002,2025-01-03,C-100,TechFlow Inc,Platform Basic Monthly,subscription_billing,1291.38,USD,CON-100,2025-01-01,2025-01-28
TXN-0003,2025-01-12,C-100,TechFlow Inc,API Overage,usage_billing,4122.67,USD,CON-100,2025-01-01,2025-01-28
TXN-0004,2025-01-25,C-100,TechFlow Inc,Premium Support,subscription_refund,-2014.13,USD,CON-100,2025-01-01,2025-12-31
TXN-0005,2025-01-10,C-100,TechFlow Inc,Premium Support,subscription_billing,5842.45,USD,CON-100,2025-01-01,2025-12-31
TXN-0006,2025-01-03,C-101,DataSphere Ltd,Platform Standard Monthly,subscription_billing,2527.76,USD,CON-101,2025-01-01,2025-01-28
TXN-0007,2025-01-18,C-101,DataSphere Ltd,Platform Basic Monthly,subscription_billing,1153.92,USD,CON-101,2025-01-01,2025-01-28
TXN-0008,2025-01-15,C-101,DataSphere Ltd,Implementation,service_billing,7759.9,USD,CON-101,2025-01-01,2025-12-31
TXN-0009,2025-01-03,C-101,DataSphere Ltd,API Overage,usage_billing,3398.71,USD,CON-101,2025-01-01,2025-01-28
TXN-0010,2025-01-10,C-101,DataSphere Ltd,Premium Support,subscription_billing,5620.46,USD,CON-101,2025-01-01,2025-12-31
TXN-0011,2025-01-12,C-102,CloudNine Corp,Platform Pro Annual,subscription_billing,25310.39,USD,CON-102,2025-01-01,2025-12-31
TXN-0012,2025-01-08,C-102,CloudNine Corp,Platform Standard Monthly,subscription_billing,2592.31,USD,CON-102,2025-01-01,2025-01-28
TXN-0013,2025-01-13,C-102,CloudNine Corp,Platform Basic Monthly,subscription_billing,1210.28,USD,CON-102,2025-01-01,2025-01-28
TXN-0014,2025-01-01,C-102,CloudNine Corp,API Overage,usage_billing,859.8,USD,CON-102,2025-01-01,2025-01-28
TXN-0015,2025-01-07,C-102,CloudNine Corp,Premium Support,subscription_billing,6266.32,USD,CON-102,2025-01-01,2025-12-31
TXN-0016,2025-01-05,C-103,InnovateTech,Platform Pro Annual,subscription_billing,23705.1,USD,CON-103,2025-01-01,2025-12-31
TXN-0017,2025-01-01,C-103,InnovateTech,Platform Standard Monthly,subscription_billing,2403.79,USD,CON-103,2025-01-01,2025-01-28
TXN-0018,2025-01-14,C-103,InnovateTech,Platform Basic Monthly,subscription_billing,1228.07,USD,CON-103,2025-01-01,2025-01-28
TXN-0019,2025-01-10,C-103,InnovateTech,Implementation,service_billing,8294.45,USD,CON-103,2025-01-01,2025-12-31
TXN-0020,2025-01-04,C-103,InnovateTech,API Overage,usage_billing,1403.53,USD,CON-103,2025-01-01,2025-01-28
TXN-0021,2025-01-11,C-103,InnovateTech,Premium Support,subscription_billing,6288.35,USD,CON-103,2025-01-01,2025-12-31
TXN-0022,2025-01-06,C-104,Quantum Analytics,Platform Standard Monthly,subscription_billing,2588.12,USD,CON-104,2025-01-01,2025-01-28
TXN-0023,2025-01-11,C-104,Quantum Analytics,Platform Basic Monthly,subscription_billing,1221.66,USD,CON-104,2025-01-01,2025-01-28
TXN-0024,2025-01-13,C-104,Quantum Analytics,Implementation,service_billing,8289.63,USD,CON-104,2025-01-01,2025-12-31
TXN-0025,2025-01-09,C-104,Quantum Analytics,API Overage,usage_billing,524.49,USD,CON-104,2025-01-01,2025-01-28
TXN-0026,2025-01-09,C-104,Quantum Analytics,Premium Support,subscription_billing,5727.9,USD,CON-104,2025-01-01,2025-12-31
TXN-0027,2025-01-12,C-105,NexGen Solutions,Platform Pro Annual,subscription_billing,23019.18,USD,CON-105,2025-01-01,2025-12-31
TXN-0028,2025-01-05,C-105,NexGen Solutions,Platform Basic Monthly,subscription_billing,1203.61,USD,CON-105,2025-01-01,2025-01-28
TXN-0029,2025-01-12,C-105,NexGen Solutions,Implementation,service_billing,8985.3,USD,CON-105,2025-01-01,2025-12-31
TXN-0030,2025-01-17,C-105,NexGen Solutions,API Overage,usage_billing,2874.08,USD,CON-105,2025-01-01,2025-01-28
TXN-0031,2025-01-06,C-105,NexGen Solutions,Premium Support,subscription_billing,6050.6,USD,CON-105,2025-01-01,2025-12-31
TXN-0032,2025-01-16,C-106,AlphaWave Digital,Platform Pro Annual,subscription_billing,23468.64,USD,CON-106,2025-01-01,2025-12-31
TXN-0033,2025-01-17,C-106,AlphaWave Digital,Platform Basic Monthly,subscription_refund,-518.18,USD,CON-106,2025-01-01,2025-01-28
TXN-0034,2025-01-07,C-106,AlphaWave Digital,Platform Basic Monthly,subscription_billing,1222.69,USD,CON-106,2025-01-01,2025-01-28
TXN-0035,2025-01-10,C-106,AlphaWave Digital,API Overage,usage_billing,2152.57,USD,CON-106,2025-01-01,2025-01-28
TXN-0036,2025-01-17,C-107,Prisma Systems,Platform Pro Annual,subscription_billing,23613.53,USD,CON-107,2025-01-01,2025-12-31
TXN-0037,2025-01-16,C-107,Prisma Systems,Implementation,service_billing,7423.98,USD,CON-107,2025-01-01,2025-12-31
TXN-0038,2025-01-01,C-107,Prisma Systems,API Overage,usage_billing,4612.65,USD,CON-107,2025-01-01,2025-01-28
TXN-0039,2025-01-16,C-107,Prisma Systems,Premium Support,subscription_refund,-1791.34,USD,CON-107,2025-01-01,2025-12-31
TXN-0040,2025-01-03,C-107,Prisma Systems,Premium Support,subscription_billing,6087.92,USD,CON-107,2025-01-01,2025-12-31
TXN-0041,2025-01-01,C-108,Vertex AI Labs,Platform Pro Annual,subscription_billing,23142.78,USD,CON-108,2025-01-01,2025-12-31
TXN-0042,2025-01-01,C-108,Vertex AI Labs,Platform Standard Monthly,subscription_billing,2667.9,USD,CON-108,2025-01-01,2025-01-28
TXN-0043,2025-01-14,C-108,Vertex AI Labs,Platform Basic Monthly,subscription_billing,1155.93,USD,CON-108,2025-01-01,2025-01-28
